date,title,description,url
2024-10-17T08:30:00+00:00,"Kenya hosts female gamers competition, winner to represent in DRC",Kenya is one of 16 African countries that have organized female gamers competitions this month. Kenya’s competition attracted at least 10 female gamers competing for a chance to represent the nation in the Democratic Republic of Congo next month. Mohammed Yusuf reports.,https://www.voaafrica.com/a/7824979.html
2024-09-06T19:35:18+00:00,Kenya's VP says 70 children 'unaccounted for' after deadly school fire kills 17,"Kenyan Vice President Rigathi Gachagua said Friday that 70 students remained ‘unaccounted for’ after a fire at a local boarding school killed 17 students and injured 13 others. Gachagua added that some of the students may have been taken home by their parents on the night of Thursday. The cause of the fire was not immediately clear. President William Ruto said he had told authorities to investigate what he called the ""horrific incident"" and said those responsible would be held to account. Authorities have cordoned off the school and crime scene investigators have been sent there. According to the East African nation’s ministry of education, the school has a total 824 students comprising 422 girls and 402 boys. Of these, 160 girls are boarders while the rest are day scholars.",https://www.voaafrica.com/a/7774540.html
2024-08-30T09:00:00+00:00,China uses media trips in soft power play to boost image,"Beijing is sending reporters to Chinese cities to showcase culture, technology and tourism. What’s missing, say analysts, is an uncensored picture of China and its human rights abuses. Victoria Amunga for VOA News has the story.",https://www.voaafrica.com/a/7764357.html
2024-08-29T07:30:00+00:00,Sudan's Tokar cut off from Port Sudan by floods,"Residents in South Tokar city in Sudan's Red Sea state were left stranded after flash floods destroyed the main highway connecting the city to de facto capital Port Sudan. People have been displaced and have lost their properties due to the floods. ""People are going up and down using ropes. People are affected because of the property they lost and their belongings that were washed away by the flood,"" said local leader Taher Ohaj. Trucks have been parked on the destroyed road, unable to cross for the past eight days according to a local merchant, who added that prices have spiked after the floods due to the lack of access.",https://www.voaafrica.com/a/7763028.html
2024-08-21T07:00:00+00:00,"Kenya taxi drivers defy ride sharing rules, set their own fares to cope with higher cost of living","Some Kenyan taxi drivers have openly admitted to violating rules set by ride sharing companies like Uber, that prohibit their employees and contractors from setting their own fare prices, as a means of coping with the increased costs of living. Reuters reporter David Doyle has more.",https://www.voaafrica.com/a/7749940.html
2024-08-19T16:41:41+00:00,Gen-Z protestors don't believe Kenya police chief nominee will keep promises,"Robert Mwangi, a Gen-Z protester in Kenya says demonstrators do not believe that major police reforms promised by Douglas Kanja Kirocho, the nominee to become the inspector general of the police, will ever be carried out. Mwangi, tells VOA's Peter Clottey that public officials talk a good game but fail to keep their promises.",https://www.voaafrica.com/a/7748383.html
2024-08-17T07:30:00+00:00,Restaurant with robot services causes excitement in Nairobi,"In Nairobi, a new restaurant is generating business and buzz – not just because of the food, but because of the staff. Robots serving dishes is the main attraction of diners who flock to the Robot Café. Juma Majanga reports from Nairobi, Kenya. Camera: Jimmy Makhulo.",https://www.voaafrica.com/a/7745782.html
2024-08-17T03:00:00+00:00,Restaurant with Robot Services Causes Excitement in Nairobi,"In Nairobi, a new restaurant is generating business and buzz – not just because of the food, but because of the staff. Robots serving dishes is the main attraction for diners who flock to the Robot Café. Juma Majanga reports from Nairobi, Kenya.",https://www.voaafrica.com/a/7745482.html
2024-08-12T13:50:11+00:00,Kenyan union official says upcoming teachers strike will disturb academic calendar,"The Kenya National Union of Teachers and the Kenya Union of Post Primary Education Teachers are warning of an imminent industrial strike action to press home their demands for improved living conditions. Collins Oyuu, the secretary general of National Union of Teachers, tells VOAs Peter Clottey that the industrial action will interfere with the academic calendar.",https://www.voaafrica.com/a/7739129.html
2024-08-02T08:00:00+00:00,Generation Z leading widely supported historic protests in Kenya,"The recent protests in Kenya that forced the president to dissolve his cabinet have been led people under 27 years old, members of so-called Generation Z, many of whom identify as tribeless and classless. The nationwide protests are largely organized on social media with no notable leaders. They have snowballed into a movement calling for good governance, with broad backing across Kenya. So, who are these Gen-Z protesters? Juma Majanga reports from Nairobi, Kenya.",https://www.voaafrica.com/a/7726403.html
2024-07-31T14:45:06+00:00,Kenya's Ruto names opponents to cabinet,"Kenyan President William Ruto nominated on Wednesday four members of the main opposition party to a ""broad-based"" cabinet he promised in response to nationwide protests, but activists criticized the new government as a ""corrupt bargain."" Reuters’ Arrthy Thayaparan reports.",https://www.voaafrica.com/a/7724311.html
2024-07-30T15:58:48+00:00,Kenya’s Gen-Z protesters say President Ruto’s new cabinet disappoints them,"Kenya President William Ruto expressed concern that Gen-Z protesters are being sponsored by external forces to destabilize the country. However, the protesters say the new cabinet named by the president does not meet their expectations. Robert Mwangi is one of the Gen-Z protesters and talks with VOA’s Peter Clottey about some of his group's concerns.",https://www.voaafrica.com/a/7718671.html
2024-07-16T21:24:57+00:00,At least one dead as Kenya protests intensify,Police clashed with protesters in Kenya on Tuesday in what appeared to be the biggest demonstrations since President William Ruto withdrew proposed tax hikes. Reuters’ David Doyle has more.,https://www.voaafrica.com/a/7700864.html
2024-07-16T08:00:00+00:00,"Kenyan transgender woman shares experiences of bullying, harassment","Model, talent manager, and motivational speaker, Letoya Johnstone David is a transgender woman who lives in Kenya. David recently met with reporter Anne Ngugi to share her story of facing harassment and bullying as the LGBTQI community continues to seek acceptance in the country.",https://www.voaafrica.com/a/7699036.html
2024-07-15T18:19:03+00:00,Security expert finds Kenya’s security institutions are well structured,"Richard Tutah, a security expert, says the immediate replacement after the resignation of Kenya's Inspector General of Police shows that the country’s security institutions are well structured. He also says there appears to be no evidence to prove that Kenyan police officers used excessive force against young people who protested against the recent finance bill. VOA's Peter Clottey spoke with Tutah.",https://www.voaafrica.com/a/7699049.html
2024-07-13T08:00:00+00:00,Kenya's opulent lawmakers fuel a youthful backlash,"The lavish lifestyles of some Kenyan lawmakers have prompted some activists to retaliate, ranging from attacks on their properties to efforts to have politicians recalled. Reuters’ David Doyle has more.",https://www.voaafrica.com/a/7695939.html
